category,variable,label,measure,values,projects
Administrative / Other,bmi_timestamp,Survey Timestamp,BMI,,POWERED
Administrative / Other,body_appreciation_scale_timestamp,Survey Timestamp,BODY APPRECIATION SCALE,,POWERED
Administrative / Other,brief_fear_of_negative_evaluation_scale_timestamp,Survey Timestamp,BRIEF FEAR OF NEGATIVE EVALUATION SCALE,,POWERED
Administrative / Other,columbia_suicide_severity_rating_scale_timestamp,Survey Timestamp,COLUMBIA SUICIDE SEVERITY RATING SCALE,,POWERED
Administrative / Other,compulsive_exercise_test_timestamp,Survey Timestamp,COMPULSIVE EXERCISE TEST,,POWERED
Administrative / Other,data_collection_form_timestamp,Survey Timestamp,DATA COLLECTION FORM,,POWERED
Administrative / Other,dcf_activity,What do you currently do for activity outside of organized sports?,DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_activity_28day,"In the past 28 days, how many days have you engaged in some physical activity?",DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_activity_howlong,How long do you go? *minutes*,DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_activity_sport,Do you currently participate in an organized sport or activity?,DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_activity_sport_amount,How many hours per week do you have practices/games/meets?,DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_activity_sport_name,What sport(s)?,DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_activity_sport_off_season,Do you participate in sports in other seasons?,DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_activity_sport_off_season_amount,How many hours per week do you have practices/games/meets when you are 'in season'?,DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_activity_sport_past,Have you participated in sports in the past?,DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_activity_sport_past_type,Describe previous sport participation,DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_activity_sport_time,How long do your sports seasons last? *month/s*,DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_activity_sport_type,What sport(s),DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_adha_when,When,DATA COLLECTION FORM,,"MAXED,MR21"
Administrative / Other,dcf_breath_asthma,Breathing Prob/Asthma,DATA COLLECTION FORM,"1, Yes | 0, No","MAXED,MR21"
Administrative / Other,dcf_breath_asthma_comm,Breathing Prob/Asthma (comments),DATA COLLECTION FORM,,"MAXED,MR21"
Administrative / Other,dcf_brokenbones_surgeries,Have you ever broken any bones or had any surgeries?,DATA COLLECTION FORM,,"MAXED,MR21"
Administrative / Other,dcf_cancer,Cancer,DATA COLLECTION FORM,"1, Yes | 0, No","MAXED,MR21"
Administrative / Other,dcf_cancer_comm,Cancer (comments),DATA COLLECTION FORM,,"MAXED,MR21"
Administrative / Other,dcf_consent_form,Has the participant signed a consent form and agreed to adhere to this study protocol?,DATA COLLECTION FORM,,"MAXED,MR21,POWERED"
Administrative / Other,dcf_date,Date of Assessment,DATA COLLECTION FORM,,"MAXED,MR21,POWERED"
Administrative / Other,dcf_diabetes,Diabetes,DATA COLLECTION FORM,"1, Yes | 0, No","MAXED,MR21"
Administrative / Other,dcf_diabetes_comm,Diabetes (comments),DATA COLLECTION FORM,,"MAXED,MR21"
Administrative / Other,dcf_fam_1,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_fam_2,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_fam_3,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_fam_4,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_fam_5,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_fam_age_1,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_fam_age_2,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_fam_age_3,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_fam_age_4,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_fam_age_5,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_fam_dx_1,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_fam_dx_2,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_fam_dx_3,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_fam_dx_4,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_fam_dx_5,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_handedness,Handedness,DATA COLLECTION FORM,"1, Right | 2, Left",MAXED
Administrative / Other,dcf_hi_consciousness,"If yes, was the loss of consciousness greater than 10 minutes?",DATA COLLECTION FORM,,"MAXED,MR21"
Administrative / Other,dcf_hi_long_term_effects,Any long-term effects?,DATA COLLECTION FORM,,"MAXED,MR21"
Administrative / Other,dcf_hivaids,HIV/AIDS,DATA COLLECTION FORM,"1, Yes | 0, No","MAXED,MR21"
Administrative / Other,dcf_hivaids_comm,HIV/AIDS (comments),DATA COLLECTION FORM,,"MAXED,MR21"
Administrative / Other,dcf_hypertension,Hypertension,DATA COLLECTION FORM,"1, Yes | 0, No","MAXED,MR21"
Administrative / Other,dcf_hypertension_comm,Hypertension (comments),DATA COLLECTION FORM,,"MAXED,MR21"
Administrative / Other,dcf_immigrant,Please select the option that best applies to you.,DATA COLLECTION FORM,,POWERED
Administrative / Other,dcf_immigrant_other,Please explain why you don't identify with the options above:,DATA COLLECTION FORM,,POWERED
Administrative / Other,dcf_living,Where are you living/staying right now?,DATA COLLECTION FORM,"1, Your own house/apartment | 2, Dorm | 3, Someone else's house/apartment | 4, With parents | 5, Other: Please Specify","MAXED,POWERED"
Administrative / Other,dcf_living_other,"Other, specify | Please describe where you are currently living/staying.",DATA COLLECTION FORM,,"MAXED,POWERED"
Administrative / Other,dcf_med_ed_explain,"If yes, explain.",DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_meningitis,Meningitis,DATA COLLECTION FORM,"1, Yes | 0, No","MAXED,MR21"
Administrative / Other,dcf_meningitis_comm,Meningitis (comments),DATA COLLECTION FORM,,"MAXED,MR21"
Administrative / Other,dcf_mj,Do you consume Marijuana? | Have you ever consumed marijuana? | Have you ever used marijuana?,DATA COLLECTION FORM,,"MAXED,MR21,POWERED"
Administrative / Other,dcf_mj_2mo_when,"Please list how old you were each time you stopped using marijuana for 2 months or longer, and how long (in months) you stopped using marijuana each time. When listing ages, list whole years and half years (i.e., 16 or 16.5)",DATA COLLECTION FORM,,POWERED
Administrative / Other,dcf_mj_age_1,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_mj_age_3,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_mj_age_4,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_mj_age_5,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_mj_amount,"On average, how much marijuana did you/do you consume each time you use(d) it?_x000D_
",DATA COLLECTION FORM,,POWERED
Administrative / Other,dcf_mj_concern,"In the past three months, has anyone expressed concern about your consumption of marijuana?",DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_mj_current,Do you currently use marijuana?,DATA COLLECTION FORM,,POWERED
Administrative / Other,dcf_mj_freq,Frequency (per day/week/month/year),DATA COLLECTION FORM,,POWERED
Administrative / Other,dcf_mj_freq_2,How often do you consume Marijuana? (PER day/week/month/year),DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_mj_freq_dwm_2,Frequency (per day/week/month/year),DATA COLLECTION FORM,"day, per day | week, per week | month, per month | year, per year",MAXED
Administrative / Other,dcf_mj_mo_1,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_mj_mo_2,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_mj_mo_3,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_mj_mo_4,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_mj_mo_5,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_mj_num_2,"When you consume Maijuana, how much do you consume? 
",DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_mj_per,"On average, how many times (per day/week/month/year) did/do you use marijuana?",DATA COLLECTION FORM,,POWERED
Administrative / Other,dcf_mj_use_12mo,"In the past 12 months, how often have you consumed marijuana?",DATA COLLECTION FORM,"0, Never | 1, Less than monthly | 2, Monthly | 3, Weekly | 4, Daily or almost daily",MR21
Administrative / Other,dcf_neuro_dis,Neurologic Disorder,DATA COLLECTION FORM,"1, Yes | 0, No","MAXED,MR21"
Administrative / Other,dcf_neuro_dis_comm,Neurologic Disorder (comments),DATA COLLECTION FORM,,"MAXED,MR21"
Administrative / Other,dcf_nic_2moabsent_length,How long did it last?,DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_nic_2moabsent_when,"If so, when?",DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_nic_age_1,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_nic_age_2,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_nic_age_3,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_nic_age_4,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_nic_age_5,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_nic_freq_dwm,Frequency (per day/week/month/year),DATA COLLECTION FORM,"day, per day | week, per week | month, per month | year, per year | never, never",MAXED
Administrative / Other,dcf_nic_mo_1,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_nic_mo_2,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_nic_mo_3,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_nic_mo_4,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_nic_mo_5,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_note_1,"IF PARTICIPANT HAS NOT SIGNED CONSENT, DO NOT CONTINUE WITH THIS FORM.",DATA COLLECTION FORM,,"MAXED,MR21,POWERED"
Administrative / Other,dcf_note_2,"IF ""YES"" TO ANY #14-18, PROBE FOR MORE INFORMATION AND IF NEEDED DISCUSS WITH PI FOR POSSIBLE EXCLUSION",DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_pdrug_age_1,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_pdrug_age_2,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_pdrug_age_3,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_pdrug_age_4,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_pdrug_age_5,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_pdrug_mo_1,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_pdrug_mo_2,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_pdrug_mo_3,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_pdrug_mo_4,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_pdrug_mo_5,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_pdrug_quit_2_time,"How long did it last?
",DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_pdrug_quit_2_when,"If so, when?",DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_presdrug_frequency,Frequency (per day/week/month/year),DATA COLLECTION FORM,,POWERED
Administrative / Other,dcf_psych_treat_specify,"If yes, specify: | Please specify what kind of treatment you are receiving and what kind of provider you are seeing.",DATA COLLECTION FORM,,"MAXED,MR21,POWERED"
Administrative / Other,dcf_quit_mj_2,How many times have you tried to quit using Marijuana?,DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_quit_mj_length_2,How long did it last?,DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_quit_mj_when,"If so, when?",DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_quit_mj_when_2,"If so, when?",DATA COLLECTION FORM,,MAXED
Administrative / Other,dcf_race_new,Which of these categories best describes your racial identity (select all that apply):,DATA COLLECTION FORM,"1, White | 2, Black/African American | 3, Asian | 4, Indigenous group (American Indian, Alaska Native, Hawaii Native, Aborigine) | 6, Pacific Islander | 8, Caribbean | 9, Middle Eastern/Arab/North African (e.g. Iranian, Moroccan) | 10, South Asian (e.g. Indian) | 11, Southeast Asian (e.g. Vietnamese",MR21
Administrative / Other,dcf_recruit,How did participant hear about us? | How did you hear about us?,DATA COLLECTION FORM,,"MAXED,MR21,POWERED"
Administrative / Other,dcf_relate_1,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_relate_2,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_relate_3,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_relate_4,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_relate_5,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_relate_dx_1,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_relate_dx_2,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_relate_dx_3,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_relate_dx_4,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_relate_dx_5,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_s_impairments_specify,"If yes, specify:",DATA COLLECTION FORM,,"MAXED,MR21,POWERED"
Administrative / Other,dcf_seiz_epilepsy,Seizures or Epilepsy,DATA COLLECTION FORM,"1, Yes | 0, No","MAXED,MR21"
Administrative / Other,dcf_seiz_epilepsy_comm,Seizures or Epilepsy (comments),DATA COLLECTION FORM,,"MAXED,MR21"
Administrative / Other,dcf_sex,Sex assigned at birth,DATA COLLECTION FORM,"1, Male | 2, Female","MAXED,MR21"
Administrative / Other,dcf_steroid_intro,Steroid Use,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_steroids,Have you ever taken anabolic steroids?,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_steroids_age_1,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_steroids_age_2,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_steroids_age_3,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_steroids_age_4,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_steroids_age_5,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_steroids_concern,"In the past three months, has anyone expressed concern about your use of anabolic steroids?",DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_steroids_mo_1,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_steroids_mo_2,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_steroids_mo_3,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_steroids_mo_4,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_steroids_mo_5,,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_steroids_use_12mo,"In the past 12 months, how often have you taken anabolic steroids?",DATA COLLECTION FORM,"0, Never | 1, Less than monthly | 2, Monthly | 3, Weekly | 4, Daily or almost daily",MR21
Administrative / Other,dcf_student,Are you a student | Are you a student?,DATA COLLECTION FORM,,"MAXED,POWERED"
Administrative / Other,dcf_studies,Have you done one of our studies before?,DATA COLLECTION FORM,,"MAXED,MR21,POWERED"
Administrative / Other,dcf_studies_specific,Which Study? | Which study did you do?,DATA COLLECTION FORM,,"MAXED,MR21,POWERED"
Administrative / Other,dcf_subhead_mj,Marijuana Use History,DATA COLLECTION FORM,,"MAXED,MR21,POWERED"
Administrative / Other,dcf_trans_identity,I consider myself...,DATA COLLECTION FORM,"1, Transgender Male | 2, Transgender non-binary | 3, Other",MR21
Administrative / Other,dcf_trans_other,Other:,DATA COLLECTION FORM,,MR21
Administrative / Other,dcf_usual_vs_current,Are you a full-time or part-time student? | Are you part-time or full-time,DATA COLLECTION FORM,"1, Part-time | 2, Full-time","MAXED,POWERED"
Administrative / Other,embark_id,EMBARK ID,DATA COLLECTION FORM,,POWERED
Administrative / Other,mj_months_quit,Months Abstained,DATA COLLECTION FORM,,POWERED
Administrative / Other,nda_var_1,First Name:,DATA COLLECTION FORM,,MR21
Administrative / Other,nda_var_2,Middle Name (if available):,DATA COLLECTION FORM,,MR21
Administrative / Other,nda_var_3,Last Name:,DATA COLLECTION FORM,,MR21
Administrative / Other,nda_var_4,City/Municipality of Birth:,DATA COLLECTION FORM,,MR21
Administrative / Other,nic_months_quit,Months abstained,DATA COLLECTION FORM,,POWERED
Administrative / Other,pdrug_months_quit,Months abstained,DATA COLLECTION FORM,,POWERED
Administrative / Other,pdrug_months_quit_1,Months quit for 1st year,DATA COLLECTION FORM,,POWERED
Administrative / Other,pdrug_months_quit_2,Months quit for 2nd year,DATA COLLECTION FORM,,POWERED
Administrative / Other,pdrug_months_quit_3,Months quit for 3rd year,DATA COLLECTION FORM,,POWERED
Administrative / Other,pdrug_months_quit_4,Months quit for 4th year,DATA COLLECTION FORM,,POWERED
Administrative / Other,pdrug_months_quit_5,Months quit for 5th year,DATA COLLECTION FORM,,POWERED
Administrative / Other,subid,Subject ID,DATA COLLECTION FORM,,"MAXED,MR21,POWERED"
Administrative / Other,dcf_activity_level,How would you describe your current activity level?,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcf_adults_in_house,How many adults (over 18 years old) are living in the home?,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcf_other_specify_v2,My identity is not listed (please describe):,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcf_psych_treat_specify_v2,"If yes, specify:",DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_ed_age_1,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_ed_age_2,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_ed_age_3,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_ed_age_4,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_ed_age_5,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_ed_dx_1,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_ed_dx_2,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_ed_dx_3,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_ed_dx_4,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_ed_dx_5,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_ed_fam_1,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_ed_fam_2,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_ed_fam_3,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_ed_fam_4,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_ed_fam_5,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_fam_1,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_fam_2,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_fam_3,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_fam_4,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_fam_5,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_fam_dx_1,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_fam_dx_2,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_fam_dx_3,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_fam_dx_4,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,dcfp_fam_dx_5,,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,subid_v2,Subject ID,DATA COLLECTION FORM - PARENTS,,MR21
Administrative / Other,diamond_summary_timestamp,Survey Timestamp,DIAMOND,,POWERED
Administrative / Other,eating_disorder_examination_timestamp,Survey Timestamp,EATING DISORDER EXAMINATION,,POWERED
Administrative / Other,eqf_timestamp,Survey Timestamp,EATING FEARS QUESTIONNAIRE,,POWERED
Administrative / Other,ed_100k_plus_timestamp,Survey Timestamp,ED 100K PLUS,,POWERED
Administrative / Other,ed100k_record_id,Record ID,ED100K,,MAXED
Administrative / Other,edi_drive_for_thinness_timestamp,Survey Timestamp,EDI DRIVE FOR THINNESS,,POWERED
Administrative / Other,function_of_exercise_timestamp,Survey Timestamp,FADE/FAMB,,POWERED
Administrative / Other,gffs_timestamp,Survey Timestamp,GOLDFARB FEAR OF FAT SCALE,,POWERED
Administrative / Other,group,Group Assignment,GROUP ASSIGNMENT,,POWERED
Administrative / Other,group_assignment_timestamp,Survey Timestamp,GROUP ASSIGNMENT,,POWERED
Administrative / Other,group_assignment_updated,Group assignment updated,GROUP ASSIGNMENT,,POWERED
Administrative / Other,mmq_timestamp,Survey Timestamp,MINI MENSTRUAL QUESTIONNAIRE,,POWERED
Administrative / Other,mini_mental_state_exam_mmse_timestamp,Survey Timestamp,MINI MENTAL STATE EXAM,,POWERED
Administrative / Other,ocyc_maladaptive_timestamp,Survey Timestamp,OCYC MALADAPTIVE,,POWERED
Administrative / Other,pots_timestamp,Survey Timestamp,PERCEPTIONS OF TEASING SCALE,,POWERED
Administrative / Other,post_interview_survey_timestamp,Survey Timestamp,POST INTERVIEW SURVEY,,POWERED
Administrative / Other,interview_timestamp,Survey Timestamp,POWERED WEIGHT HISTORY INTERVIEW,,POWERED
Administrative / Other,pds_timestamp,Survey Timestamp,PUBERTAL DEVELOPMENTAL SCALE,,POWERED
Administrative / Other,selfcompassion_scale_timestamp,Survey Timestamp,SELFCOMPASSION SCALE,,POWERED
Administrative / Other,sataq_timestamp,Survey Timestamp,SOCIOCULTURAL ATTITUDES TOWARDS APPEARANCE QUESTIONNAIRE,,POWERED
Administrative / Other,day_a_study_notes,"Study Visit Notes (i.e., did any adverse events/mishaps happen throughout the visit?):",STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_attract_0,attract 0,STUDY VISIT A COLLECTION FORM,,MAXED
Administrative / Other,ex_attract_0_a,attract 0,STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_attract_10,attract 10,STUDY VISIT A COLLECTION FORM,,MAXED
Administrative / Other,ex_attract_10_a,attract 10,STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_attract_15,attract 15,STUDY VISIT A COLLECTION FORM,,MAXED
Administrative / Other,ex_attract_15_a,attract 15,STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_attract_20,attract 20,STUDY VISIT A COLLECTION FORM,,MAXED
Administrative / Other,ex_attract_20_a,attract 20,STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_attract_25,attract 25,STUDY VISIT A COLLECTION FORM,,MAXED
Administrative / Other,ex_attract_25_a,attract 25,STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_attract_30,attract 30,STUDY VISIT A COLLECTION FORM,,MAXED
Administrative / Other,ex_attract_30_a,attract 30,STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_attract_5,attract 5,STUDY VISIT A COLLECTION FORM,,MAXED
Administrative / Other,ex_attract_5_a,attract 5,STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_avg_0,Avg 0,STUDY VISIT A COLLECTION FORM,,MAXED
Administrative / Other,ex_avg_0_a,Avg 0,STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_avg_10,Avg 10,STUDY VISIT A COLLECTION FORM,,MAXED
Administrative / Other,ex_avg_10_a,Avg 10,STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_avg_15,Avg 15,STUDY VISIT A COLLECTION FORM,,MAXED
Administrative / Other,ex_avg_15_a,Avg 15,STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_avg_20,Avg 20,STUDY VISIT A COLLECTION FORM,,MAXED
Administrative / Other,ex_avg_20_a,Avg 20,STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_avg_25,Avg 25,STUDY VISIT A COLLECTION FORM,,MAXED
Administrative / Other,ex_avg_25_a,Avg 25,STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_avg_30,Avg 30,STUDY VISIT A COLLECTION FORM,,MAXED
Administrative / Other,ex_avg_30_a,Avg 30,STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_avg_5,Avg 5,STUDY VISIT A COLLECTION FORM,,MAXED
Administrative / Other,ex_avg_5_a,Avg 5,STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_calm_0,Calm 0,STUDY VISIT A COLLECTION FORM,,MAXED
Administrative / Other,ex_calm_0_a,Calm 0,STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_calm_10,Calm 10,STUDY VISIT A COLLECTION FORM,,MAXED
Administrative / Other,ex_calm_10_a,Calm 10,STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_calm_15,Calm 15,STUDY VISIT A COLLECTION FORM,,MAXED
Administrative / Other,ex_calm_15_a,Calm 15,STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_calm_20,Calm 20,STUDY VISIT A COLLECTION FORM,,MAXED
Administrative / Other,ex_calm_20_a,Calm 20,STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_calm_25,Calm 25,STUDY VISIT A COLLECTION FORM,,MAXED
Administrative / Other,ex_calm_25_a,Calm 25,STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_calm_30,Calm 30,STUDY VISIT A COLLECTION FORM,,MAXED
Administrative / Other,ex_calm_30_a,Calm 30,STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_calm_5,Calm 5,STUDY VISIT A COLLECTION FORM,,MAXED
Administrative / Other,ex_calm_5_a,Calm 5,STUDY VISIT A COLLECTION FORM,,MR21
Administrative / Other,ex_crum_0,Crum 0,STUDY VISIT A COLLECTION FORM,,MAXED
