"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,online_screening,,text,"Record ID",,,,,,,,,,,,,
onlinescreening_contact,online_screening,,descriptive,"Contact information: 
Embark Lab (Madison, WI)
Phone: (608) 572-7452
Email: embarklab@psychiatry.wisc.edu

Gorrell Lab (San Francisco, CA)
Phone: (415) 514-3547
Email: oriene.yu@ucsf.edu",,,,,,,,,,,,,
screen_age,online_screening,,yesno,"Are you 18 or older?",,,,,,,,y,,,,,
screener_location,online_screening,,radio,"Are you located in the general area of Madison, Wisconsin, or San Francisco, California?","1, Madison, WI | 2, San Francisco, CA | 3, I am not close to either of these areas",,,,,,,y,,,,,
screen_availability,online_screening,,yesno,"Are you able to attend in-person appointments at 6001 Research Park Blv, Madison, WI to participate in this study?",,,,,,,"[screener_location] = 1",y,,,,,
screen_availability_ucsf,online_screening,,yesno,"Are you able to attend in-person appointments at 675 18th St., San Francisco, CA to participate in this study?",,,,,,,"[screener_location] = 2",y,,,,,
screen_teenager_consent,online_screening,,descriptive,"To participate in this screening form, we will need your parent/legal guardian permission to continue.  

Parent/Legal guardian, 
Your child is being asked to participant in a study exploring how exercise impacts eating disorders. This is simply the screening form to establish possible eligibility and to tell you and your child a little about the study, this is not the actual study. This screening processes should take about 20 minutes or less. The questions asked will be about current eating habits, general health, and other eligibility questions. 

We anticipate that most people will find this questionnaire to be relatively benign, and comfortable to answer. There are no foreseeable risks to participating in this screening form. All the information your child provide will be keep on lock servers and assessable only by study team members and will be used to determine eligibility. If your child is not eligible for this study all information collected during this screen survey will be destroyed.   
All information your child provide will be kept confidential. Only the researchers, and no outside parties, will be able to link your child's identity to the information you provide. We will use a unique study code, and not your child's name on your questionnaire and all other information we gather. We collect your child's name and number for the purpose of contacting them to set up further study visits. Your name and all identifying information will be keep separate from their data with only their unique study code connecting them. The key to decode and connect your child's name and data is kept on a locked server and only study team members have access to it. 

Participation in this screening is voluntary. Should you agree to let your child participate in this study, they are free to withdraw at any time, even after they have already begun. There is no penalty of any kind for withdrawing from this screening form. While we hope they will read each question carefully and provide an honest answer to each, they are free to skip any questions you do not wish to answer. 

If you have any questions or concerns about you or your child's rights or well-being as a research participant, or any dissatisfaction with any aspect of this research study, you may contact the UW Health Patient Relations at 608-263-8009. The Patient Relations Representatives work with research subjects to address concerns about research participation and assist in resolving problems. If you have questions about the research after today you should contact the Embark Lab at embarklab@psychiatry.wisc.edu 

If you agree to let your child participate, please check the box below. Thank you very much for your time and effort. 
I have read the above information about this study and I understand what it involves. I agree to participate in this screening form, and I understand that I am doing so voluntarily and that I have the right to withdraw at any time. 
From this point please have you child answer the screening question. After your child gives consent to continue a description of the study is provided. Thank you. ",,,,,,,"[screen_age] = '0' AND
[screener_location] = 1",,,,,,
screen_teenager_consent_2,online_screening,,descriptive,"To participate in this screening form, we will need your parent/legal guardian permission to continue.  

Parent/Legal guardian, 
Your child is being asked to participant in a study exploring how exercise impacts eating disorders. This is simply the screening form to establish possible eligibility and to tell you and your child a little about the study, this is not the actual study. This screening processes should take about 20 minutes or less. The questions asked will be about current eating habits, general health, and other eligibility questions. 

We anticipate that most people will find this questionnaire to be relatively benign, and comfortable to answer. There are no foreseeable risks to participating in this screening form. All the information your child provide will be keep on lock servers and assessable only by study team members and will be used to determine eligibility. If your child is not eligible for this study all information collected during this screen survey will be destroyed.   
All information your child provide will be kept confidential. Only the researchers, and no outside parties, will be able to link your child's identity to the information you provide. We will use a unique study code, and not your child's name on your questionnaire and all other information we gather. We collect your child's name and number for the purpose of contacting them to set up further study visits. Your name and all identifying information will be keep separate from their data with only their unique study code connecting them. The key to decode and connect your child's name and data is kept on a locked server and only study team members have access to it. 

Participation in this screening is voluntary. Should you agree to let your child participate in this study, they are free to withdraw at any time, even after they have already begun. There is no penalty of any kind for withdrawing from this screening form. While we hope they will read each question carefully and provide an honest answer to each, they are free to skip any questions you do not wish to answer. 

If you have any questions or concerns about you or your child's rights or well-being as a research participant, or any dissatisfaction with any aspect of this research study, you may contact the UCSF Health Patient Relations at (415) 353-1936. The Patient Relations Representatives work with research subjects to address concerns about research participation and assist in resolving problems. If you have questions about the research after today you should contact the Gorrell Lab at oriene.yu@ucsf.edu.

If you agree to let your child participate, please check the box below. Thank you very much for your time and effort. 
I have read the above information about this study and I understand what it involves. I agree to participate in this screening form, and I understand that I am doing so voluntarily and that I have the right to withdraw at any time. 
From this point please have you child answer the screening question. After your child gives consent to continue a description of the study is provided. Thank you. ",,,,,,,"[screen_age] = '0' AND
[screener_location] = 2",,,,,,
screen_consent_choice,online_screening,,yesno,"Do you agree to continue this form to determine if you are eligible to begin the study?",,,,,,,,y,,,,,
screen_consent,online_screening,,descriptive,"Dear Participants, 

You are being asked to participant in a study exploring how exercise impacts eating disorders. This form establishes your possible eligibility and to tells you a little about the study, this is not the actually study. This screening processes should take about 20 minutes or less. The questions asked will be about current eating habits, general health, and other eligibility questions. 

We anticipate that most people will find this questionnaire to be relatively benign, and comfortable to answer. There are no foreseeable risks to participating in this screening form. All the information you provide will be keep on lock servers and assessable only by study team members and will be used to determine eligibility. If you are not eligible for this study all information collected during this screen survey will be destroyed.   

All information you provide will be kept confidential. Only the researchers, and no outside parties, will be able to link your identity to the information you provide. We will use a unique study code, and not your name on your questionnaire and all other information we gather. We collect your name and number for the purpose of contacting you to set up further study visits. Your name and all identifying information will be keep separate from your data with only your unique study code connecting you. The key to decode and connect your name and data is kept on a locked server and only study team members have access to it. 

Participation in this screening is voluntary. Should you agree to participate in this study, you are free to withdraw at any time, even after you have already begun. There is no penalty of any kind for withdrawing from this screening form. While we hope you will read each question carefully and provide an honest answer to each, you are free to skip any questions you do not wish to answer. 

This study is investigating the effects of persistent driven exercise in females aged 16-22 with and without eating disorders. Physical Activity is thought to change psychological and biological systems associated with reward and threat, which can lead to driven exercise in some people. We are investigating how biological and psychological systems are impacted by exercise. 
 
Participants in the study will come to the Psychiatry Department at the University of Wisconsin for four separate visits. During the first visit, we will go over a consent form that describes the study in more detail. You may ask as many questions as you like about the study.  If you decide to take part in the study and sign the consent form, we will complete a structured, clinical interview and a series of questionnaires. These interviews and questionnaires will ask questions about eating disorder symptoms you might have experienced and also ask about mental health and other behaviors. The purpose of this assessment is to determine eligibility for the study and to understand whether differences in health symptoms are related to certain cognitions and behaviors. This visit takes ~3 hours. Following this visit, you will be given an accelerometer to wear for 7 days to track your activity and sleeping patterns.  
 
You will be asked to complete three additional study visits following the initial intake if you are eligible for the study. After the initial visit, you will also be asked to complete a set of take-home questionnaires that are to be completed before you attend your first study visit.

On some study visit days, we will ask you to not eat from 1-4pm, and we will provide you with a nutritional supplement as a snack before your visit at 4pm, so that you feel energized and not hungry during your visit.  You will also be asked to refrain from exercising for the entire study visit day. Tasks that you will be asked to do during some study visits include: 
1. completing  questionnaires about your mood and behaviors
2. taking part in a food challenge where you will be asked to drink a milk shake
3. Providing a sample of your blood via a blood draw
4. Exercising  or resting for ~30 minutes 
   
You will be compensated for your time participating. Your total compensation would be $200 over multiple visits if you complete all study procedures.  
 
You do not need to make a decision about joining the study right now. If you think you might be interested, we would like to ask you some questions today to see if you are eligible to begin the study. The questions will take about 5-10 minutes. We will ask you about your medical history, history of eating disorder symptoms, some psychological symptoms, HIV status, and demographic information.  You can stop answering questions at any time.  Choosing not to answer screening questions will not affect any treatment relationship you have with healthcare providers at UW-Madison, UW Health or any affiliated organizations, or any services you receive from them.   
 
If you are eligible to begin, we will make an appointment with you to meet with us to tell you more information about the study and answer all of your questions.  At the time of the appointment or later, you can make a decision about whether you want to participate in the study or not. 
 
If you are eligible and decide to participate in the study, we will keep the information you provide during this screening along with the other information we collect during the study.  We will remove your name and contact information and label your information with a unique study code. Your name and contact information will be stored separately in a secured location with only study personnel having access to it so that we can contact you. We will ask your permission if you come into the study to keep your identifying information so that we can contact you for future studies, and we will destroy the identifying information after the study if you chose to not be contacted for future studies.
",,,,,,,"[screen_consent_choice] = '1' AND
[screener_location] = 1",,,,,,
screen_consent_ucsf,online_screening,,descriptive,"Dear Participants, 

You are being asked to participant in a study exploring how exercise impacts eating disorders. This form establishes your possible eligibility and to tells you a little about the study, this is not the actually study. This screening processes should take about 20 minutes or less. The questions asked will be about current eating habits, general health, and other eligibility questions. 

We anticipate that most people will find this questionnaire to be relatively benign, and comfortable to answer. There are no foreseeable risks to participating in this screening form. All the information you provide will be keep on lock servers and assessable only by study team members and will be used to determine eligibility. If you are not eligible for this study all information collected during this screen survey will be destroyed.   

All information you provide will be kept confidential. Only the researchers, and no outside parties, will be able to link your identity to the information you provide. We will use a unique study code, and not your name on your questionnaire and all other information we gather. We collect your name and number for the purpose of contacting you to set up further study visits. Your name and all identifying information will be keep separate from your data with only your unique study code connecting you. The key to decode and connect your name and data is kept on a locked server and only study team members have access to it. 

Participation in this screening is voluntary. Should you agree to participate in this study, you are free to withdraw at any time, even after you have already begun. There is no penalty of any kind for withdrawing from this screening form. While we hope you will read each question carefully and provide an honest answer to each, you are free to skip any questions you do not wish to answer. 

This study is investigating the effects of persistent driven exercise in females aged 16-22 with and without eating disorders. Physical Activity is thought to change psychological and biological systems associated with reward and threat, which can lead to driven exercise in some people. We are investigating how biological and psychological systems are impacted by exercise. 
 
Participants in the study will come to the UCSF Psychiatry Clinic at the University of California San Francisco for four separate visits. During the first visit, we will go over a consent form that describes the study in more detail. You may ask as many questions as you like about the study.  If you decide to take part in the study and sign the consent form, we will complete a structured, clinical interview and a series of questionnaires. These interviews and questionnaires will ask questions about eating disorder symptoms you might have experienced and also ask about mental health and other behaviors. The purpose of this assessment is to determine eligibility for the study and to understand whether differences in health symptoms are related to certain cognitions and behaviors. This visit takes ~3 hours. Following this visit, you will be given an accelerometer to wear for 7 days to track your activity and sleeping patterns.  
 
You will be asked to complete three additional study visits following the initial intake if you are eligible for the study. After the initial visit, you will also be asked to complete a set of take-home questionnaires that are to be completed before you attend your first study visit.

On some study visit days, we will ask you to not eat from 1-4pm, and we will provide you with a nutritional supplement as a snack before your visit at 4pm, so that you feel energized and not hungry during your visit.  You will also be asked to refrain from exercising for the entire study visit day. Tasks that you will be asked to do during some study visits include: 
1. completing  questionnaires about your mood and behaviors
2. taking part in a food challenge where you will be asked to drink a milk shake
3. Providing a sample of your blood via a blood draw
4. Exercising  or resting for ~30 minutes 
   
You will be compensated for your time participating. Your total compensation would be $200 over multiple visits if you complete all study procedures.  
 
You do not need to make a decision about joining the study right now. If you think you might be interested, we would like to ask you some questions today to see if you are eligible to begin the study. The questions will take about 5-10 minutes. We will ask you about your medical history, history of eating disorder symptoms, some psychological symptoms, HIV status, and demographic information.  You can stop answering questions at any time.  Choosing not to answer screening questions will not affect any treatment relationship you have with healthcare providers at UCSF or any affiliated organizations, or any services you receive from them.  
 
If you are eligible to begin, we will make an appointment with you to meet with us to tell you more information about the study and answer all of your questions.  At the time of the appointment or later, you can make a decision about whether you want to participate in the study or not. 
 
If you are eligible and decide to participate in the study, we will keep the information you provide during this screening along with the other information we collect during the study.  We will remove your name and contact information and label your information with a unique study code. Your name and contact information will be stored separately in a secured location with only study personnel having access to it so that we can contact you. We will ask your permission if you come into the study to keep your identifying information so that we can contact you for future studies, and we will destroy the identifying information after the study if you chose to not be contacted for future studies.
",,,,,,,"[screen_consent_choice] = '1' AND
[screener_location] = 2",,,,,,
screen_head_injure,online_screening,,yesno,"Have you ever had a head injury?",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_injury_detail,online_screening,,notes,"Please describe your head injury.",,,,,,,"[screen_head_injure] = '1'",,,,,,
screen_loss_conscious,online_screening,,yesno,"Have you ever had a loss of consciousness longer than 30 minutes?",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_conscious_effect,online_screening,,notes,"Does the loss of consciousness have any long term effects?",,,,,,,"[screen_loss_conscious] = '1'",,,,,,
screen_other_condition,online_screening,,yesno,"Do you have any other serious medical conditions?",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_condition_detail,online_screening,,notes,"Please describe other serious medical conditions that are not listed above.",,,,,,,"[screen_other_condition] = '1'",,,,,,
screen_food_allergy,online_screening,,yesno,"Do you have any food allergies?",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_allergy_detail,online_screening,,notes,"Please describe your food allergies.",,,,,,,"[screen_food_allergy] = '1'",,,,,,
screen_diet_restriction,online_screening,,yesno,"Do you have any dietary restrictions?",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_diet_detail,online_screening,,notes,"Please describe your dietary restrictions.",,,,,,,"[screen_diet_restriction] = '1'",,,,,,
screen_nonexist,online_screening,,yesno,"Have you ever seen or heard things that weren't really there?",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_nonexist_detail,online_screening,,notes,"Please describe what you have seen or heard.",,,,,,,"[screen_nonexist] = '1'",,,,,,
screen_drug,online_screening,,yesno,"Do you take any medications?",,,,,,,"[screen_consent_choice] = '1'",y,,,,,
screen_drug_detail,online_screening,,notes,"Please describe your medication, including the name of the drug, the dosage, duration of use and the reasons for using the drug.",,,,,,,"[screen_drug] = '1'",,,,,,
